Absolute path;Relative path;Class
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0303.txt;dataset_copy\1\0303.txt;0303.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0340.txt;dataset_copy\1\0340.txt;0340.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0348.txt;dataset_copy\1\0348.txt;0348.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0357.txt;dataset_copy\1\0357.txt;0357.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0374.txt;dataset_copy\1\0374.txt;0374.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0382.txt;dataset_copy\1\0382.txt;0382.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0428.txt;dataset_copy\1\0428.txt;0428.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0444.txt;dataset_copy\1\0444.txt;0444.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0453.txt;dataset_copy\1\0453.txt;0453.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0456.txt;dataset_copy\1\0456.txt;0456.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0472.txt;dataset_copy\1\0472.txt;0472.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0476.txt;dataset_copy\1\0476.txt;0476.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0478.txt;dataset_copy\1\0478.txt;0478.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0487.txt;dataset_copy\1\0487.txt;0487.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0496.txt;dataset_copy\1\0496.txt;0496.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0506.txt;dataset_copy\1\0506.txt;0506.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0512.txt;dataset_copy\1\0512.txt;0512.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0559.txt;dataset_copy\1\0559.txt;0559.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0565.txt;dataset_copy\1\0565.txt;0565.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0592.txt;dataset_copy\1\0592.txt;0592.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0594.txt;dataset_copy\1\0594.txt;0594.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0595.txt;dataset_copy\1\0595.txt;0595.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0596.txt;dataset_copy\1\0596.txt;0596.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0605.txt;dataset_copy\1\0605.txt;0605.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0606.txt;dataset_copy\1\0606.txt;0606.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0609.txt;dataset_copy\1\0609.txt;0609.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0617.txt;dataset_copy\1\0617.txt;0617.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0624.txt;dataset_copy\1\0624.txt;0624.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0631.txt;dataset_copy\1\0631.txt;0631.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0637.txt;dataset_copy\1\0637.txt;0637.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0662.txt;dataset_copy\1\0662.txt;0662.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0663.txt;dataset_copy\1\0663.txt;0663.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0665.txt;dataset_copy\1\0665.txt;0665.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0666.txt;dataset_copy\1\0666.txt;0666.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0668.txt;dataset_copy\1\0668.txt;0668.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0678.txt;dataset_copy\1\0678.txt;0678.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0708.txt;dataset_copy\1\0708.txt;0708.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0710.txt;dataset_copy\1\0710.txt;0710.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0714.txt;dataset_copy\1\0714.txt;0714.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0722.txt;dataset_copy\1\0722.txt;0722.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0730.txt;dataset_copy\1\0730.txt;0730.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0759.txt;dataset_copy\1\0759.txt;0759.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0811.txt;dataset_copy\1\0811.txt;0811.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0830.txt;dataset_copy\1\0830.txt;0830.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0862.txt;dataset_copy\1\0862.txt;0862.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0870.txt;dataset_copy\1\0870.txt;0870.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0872.txt;dataset_copy\1\0872.txt;0872.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0875.txt;dataset_copy\1\0875.txt;0875.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0902.txt;dataset_copy\1\0902.txt;0902.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0907.txt;dataset_copy\1\0907.txt;0907.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0916.txt;dataset_copy\1\0916.txt;0916.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0921.txt;dataset_copy\1\0921.txt;0921.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0934.txt;dataset_copy\1\0934.txt;0934.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0940.txt;dataset_copy\1\0940.txt;0940.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0961.txt;dataset_copy\1\0961.txt;0961.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0972.txt;dataset_copy\1\0972.txt;0972.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\0991.txt;dataset_copy\1\0991.txt;0991.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1008.txt;dataset_copy\1\1008.txt;1008.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1014.txt;dataset_copy\1\1014.txt;1014.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1021.txt;dataset_copy\1\1021.txt;1021.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1039.txt;dataset_copy\1\1039.txt;1039.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1058.txt;dataset_copy\1\1058.txt;1058.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1091.txt;dataset_copy\1\1091.txt;1091.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1098.txt;dataset_copy\1\1098.txt;1098.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1121.txt;dataset_copy\1\1121.txt;1121.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1127.txt;dataset_copy\1\1127.txt;1127.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1129.txt;dataset_copy\1\1129.txt;1129.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1130.txt;dataset_copy\1\1130.txt;1130.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1150.txt;dataset_copy\1\1150.txt;1150.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1167.txt;dataset_copy\1\1167.txt;1167.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1169.txt;dataset_copy\1\1169.txt;1169.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1172.txt;dataset_copy\1\1172.txt;1172.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1189.txt;dataset_copy\1\1189.txt;1189.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1190.txt;dataset_copy\1\1190.txt;1190.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1246.txt;dataset_copy\1\1246.txt;1246.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1249.txt;dataset_copy\1\1249.txt;1249.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1288.txt;dataset_copy\1\1288.txt;1288.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1293.txt;dataset_copy\1\1293.txt;1293.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1296.txt;dataset_copy\1\1296.txt;1296.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1300.txt;dataset_copy\1\1300.txt;1300.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1309.txt;dataset_copy\1\1309.txt;1309.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1312.txt;dataset_copy\1\1312.txt;1312.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1341.txt;dataset_copy\1\1341.txt;1341.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1343.txt;dataset_copy\1\1343.txt;1343.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1345.txt;dataset_copy\1\1345.txt;1345.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1355.txt;dataset_copy\1\1355.txt;1355.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1356.txt;dataset_copy\1\1356.txt;1356.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1370.txt;dataset_copy\1\1370.txt;1370.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1371.txt;dataset_copy\1\1371.txt;1371.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1376.txt;dataset_copy\1\1376.txt;1376.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1382.txt;dataset_copy\1\1382.txt;1382.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1386.txt;dataset_copy\1\1386.txt;1386.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1408.txt;dataset_copy\1\1408.txt;1408.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1412.txt;dataset_copy\1\1412.txt;1412.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1422.txt;dataset_copy\1\1422.txt;1422.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1433.txt;dataset_copy\1\1433.txt;1433.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1451.txt;dataset_copy\1\1451.txt;1451.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1454.txt;dataset_copy\1\1454.txt;1454.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1455.txt;dataset_copy\1\1455.txt;1455.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1456.txt;dataset_copy\1\1456.txt;1456.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1483.txt;dataset_copy\1\1483.txt;1483.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1491.txt;dataset_copy\1\1491.txt;1491.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1503.txt;dataset_copy\1\1503.txt;1503.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1510.txt;dataset_copy\1\1510.txt;1510.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1513.txt;dataset_copy\1\1513.txt;1513.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1526.txt;dataset_copy\1\1526.txt;1526.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1530.txt;dataset_copy\1\1530.txt;1530.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1554.txt;dataset_copy\1\1554.txt;1554.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1574.txt;dataset_copy\1\1574.txt;1574.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1581.txt;dataset_copy\1\1581.txt;1581.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1587.txt;dataset_copy\1\1587.txt;1587.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1598.txt;dataset_copy\1\1598.txt;1598.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1600.txt;dataset_copy\1\1600.txt;1600.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1642.txt;dataset_copy\1\1642.txt;1642.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1643.txt;dataset_copy\1\1643.txt;1643.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1670.txt;dataset_copy\1\1670.txt;1670.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1688.txt;dataset_copy\1\1688.txt;1688.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1696.txt;dataset_copy\1\1696.txt;1696.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1701.txt;dataset_copy\1\1701.txt;1701.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1712.txt;dataset_copy\1\1712.txt;1712.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1717.txt;dataset_copy\1\1717.txt;1717.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1719.txt;dataset_copy\1\1719.txt;1719.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1731.txt;dataset_copy\1\1731.txt;1731.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1736.txt;dataset_copy\1\1736.txt;1736.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1768.txt;dataset_copy\1\1768.txt;1768.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1785.txt;dataset_copy\1\1785.txt;1785.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1800.txt;dataset_copy\1\1800.txt;1800.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1807.txt;dataset_copy\1\1807.txt;1807.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1811.txt;dataset_copy\1\1811.txt;1811.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1816.txt;dataset_copy\1\1816.txt;1816.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1823.txt;dataset_copy\1\1823.txt;1823.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1847.txt;dataset_copy\1\1847.txt;1847.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1849.txt;dataset_copy\1\1849.txt;1849.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1854.txt;dataset_copy\1\1854.txt;1854.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1887.txt;dataset_copy\1\1887.txt;1887.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1888.txt;dataset_copy\1\1888.txt;1888.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1903.txt;dataset_copy\1\1903.txt;1903.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1916.txt;dataset_copy\1\1916.txt;1916.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1918.txt;dataset_copy\1\1918.txt;1918.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1938.txt;dataset_copy\1\1938.txt;1938.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1942.txt;dataset_copy\1\1942.txt;1942.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1965.txt;dataset_copy\1\1965.txt;1965.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1989.txt;dataset_copy\1\1989.txt;1989.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\1994.txt;dataset_copy\1\1994.txt;1994.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2001.txt;dataset_copy\1\2001.txt;2001.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2011.txt;dataset_copy\1\2011.txt;2011.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2013.txt;dataset_copy\1\2013.txt;2013.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2018.txt;dataset_copy\1\2018.txt;2018.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2021.txt;dataset_copy\1\2021.txt;2021.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2028.txt;dataset_copy\1\2028.txt;2028.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2030.txt;dataset_copy\1\2030.txt;2030.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2032.txt;dataset_copy\1\2032.txt;2032.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2033.txt;dataset_copy\1\2033.txt;2033.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2043.txt;dataset_copy\1\2043.txt;2043.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2055.txt;dataset_copy\1\2055.txt;2055.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2064.txt;dataset_copy\1\2064.txt;2064.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2066.txt;dataset_copy\1\2066.txt;2066.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2068.txt;dataset_copy\1\2068.txt;2068.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2084.txt;dataset_copy\1\2084.txt;2084.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2089.txt;dataset_copy\1\2089.txt;2089.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2118.txt;dataset_copy\1\2118.txt;2118.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2121.txt;dataset_copy\1\2121.txt;2121.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2124.txt;dataset_copy\1\2124.txt;2124.txt
C:\Users\marGO.LAPTOP-CEGVK39N\laba\dataset_copydataset_copy\1\2135.txt;dataset_copy\1\2135.txt;2135.txt
